Label,Occupancy
25,Daycare centers nursery schools
25,Other educational services see note below for
26,Highway
26,Local interurban passenger transit
26,Motor freight transport and warehousing
26,Freight forwarders and other transportation se
27,Railroad
27,Railroads and related services
28,Air
28,Air transportation
28,Airport
28,Freight forwarders and other transportation se
29,SeaWater
29,Water transportation
29,Port Authority
29,Freight forwarders and other transportation se
30,Electrical
30,Electrical services
31,Water
31,Water supply
31,Pumping stations
31,Storage facilities tanks
31,Purification plants
32,Sanitary Sewer
32,Sewerage systems
32,Sanitary services steam and irrigation systems
33,Natural Gas
33,Gas production and distribution
34,Telephone Telegraph
34,Communications except radio and TV
35,Communication Radio and TV
35,Radio and TV broadcasting
36,Flood Control
36,Electrical services and utilities
36,Water supply and sewerage systems
36,Other federal state and local government ent
37,General Commercial
38,General Industrial
39,Miscellaneous
39,America Hurricane Models ATC produces loss
39,that are identical to those obtained by specif
39,dwelling ATC In Mexico and Central and So
39,Earthquake Models other than Chile ATC is
39,represent a general residential occupancy when
39,does not know if it is singlefamily or multi
39,FAQ What Does The Occupancy Code ATC Repre
39,RMS Models for information about how ATC i
39,other peril model regions including Chile
41,Homeowner
42,MultiFamily Dwelling Homeowners Association
43,MultiFamily Dwelling Condominium Unit Owner
44,Gasoline Service Station
47,Restaurants
48,Casinos
49,Acute Care Services Hospitals
50,OSHPD Acute Care Services Hospitals Californi
51,Hotels Large
52,Hotels Small and Medium
53,Rental General Commercial
54,Universities and Colleges
0,nan
2,PLEX
8,CO
5,CSC
2,M
6,MS
6,MSC
1,R
1,S
6,W
32,Backflow Preventors
10,Benches Variety
10,Foothills Park Playground Equipment
31,Harlequin Irrigation Pump Station
10,Honey Locust
23,Mailboxes
20,Miscellaneous Outdoor Property Incl but Not Limited To Trees Fences Light Poles Signs Etc
10,NorthtreeRanch House Park Benches
23,Underground conduit vault
32,Water Treatment Plant
31,Well No Well Casing Pump
31,Venetucci Pump Station Gallon Water Tank
31,Venetucci Pump Station Well
10,A Girls Best Friend Median Art
10,Actors Median Art
10,American Primitive Art Sculpture
10,Arc of Peace Public Art
10,Aspen Trees and Dancing Moon Median Art
10,Colfax Ave Sculpture
10,Cross and Swords Sculpture
10,Desert Plants Art Sculpture In storage
10,Eye on the Ball Public Art
10,Flow Median Art Feature
10,Gnosis Sculpture
10,Growing Sculpture
10,Joyfully Dancing Median Art
10,Little Boy Boots Bronze Sculpture
10,Nix the Lab Art Sculpture
10,North Wynkoop Fence ScreeningGraphics
10,Ornamental Lanterns Sculpture
10,Out With the Kids Sculpture
10,Peace Symbol Sculpture
10,Plumera Sculpture
10,Prickly Pear
10,Rayonism Median Art
10,Silver Moon Public Art
10,Spirit of the Sun Sculpture
10,Spirits of the Plaines Mural
10,Stainless Girl Hawk Sculpture
10,Steel Dream
10,Sunflowers Art Sculpture
10,The Secret Garden Bronze Sculpture
10,Tree of Life Public Art
10,TurtleDove Chimera Sculpture
10,Windy Daze
23,Mailbox stop outside mailboxes
39,Green Netting
31,Well House
31,Booster Pump Bldg
10,Green Rain Shelter Hole
10,Tee Box Rain Shelter Hole
31,K Gallon Water Tank
33,BTU Boiler
32,backflow device
31,K Gallon Water Tanks
31,K Gal Water TanksBPSElectrical
10,Row Bleacher Seating each
19,Fuel Tanks
32,Irrigation Ponds
31,Irrigation Pumps
32,Return Flow Structures
10,Tennis Courts
31,Wet Wells
20,Trees
10,Camp Sites wTables BBQs
10,Monument Signs
31,HP Pumps HP Pumps
17,BPP Testing Equipment CTPCTCTCTP
19,Fuel tanks above ground each
23,Niagara Signal Poles
23,Niagara Signal Signage
10,Tennis Courts including Fencing and Nets
23,Interpretive Signs
10,Tennis Courts Robert F Clement Park
10,Pickleball Courts Robert F Clement Park
32,Dryden Irrig Well Structures irrigation sprinklers Grain Bins
31,Mill Gal Brown Tank
31,Mgal Water Storage Tanks
0,
31,Pump in Underground Vault
31,Pump Hoyt Florida Pump UG Vault
20,Fish Cleaning Station
10,Restroom Estes Park CampgroundEast Portal
10,Restroom Estes Park CampgroundMarys Lake
32,Backflow
31,K Gallon Tanks and K Gallon Tank
39,inch pressure reducing valve
10,Acre Median
32,Backflow Preventer
10,barbeque grill
31,BD House Schmuck WGP
17,BPP Testing Equip CC
17,BPP Testing Equip Lakeview Dr
17,BPP Testing Equip PC
10,Bronze Big Horn Sheep Statue
10,Brown Bear Statue including rocksmedianscurbing
10,Bull Moose Statue including rocksmedianscurbing
32,Clock Backflow Preventer
32,Clock and Backflow Preventer
10,Deer Statue including rocksmedianscurbing
10,Elk Statue including rocksmedianscurbing
10,Estate Monument
31,Field Flow Tester MW MonitoringWell
10,Fountain
10,Gazebo
10,Major Monument
31,Mil Gallon Above Ground Tank
31,Million Gal Water Tank Production booster
31,Million Gal Water Tank TP
31,Million Gallon Water Tank incl Site Improvements Fencing
10,Minor Monument
10,Monument
10,Monument Sign
10,Native American Brave Statue incl rocksmedianscurbing
5,Newspaper Corral
10,Play Structure
10,Playground
10,Porta Potty Shelter
10,Restroom
32,Secondary Clarifier incl drive collector mechanism
32,Silo
30,Transformer Enclosure
15,TriOxyn Chemical Tank Gallon
31,Gal Above Ground Tank
31,Gallon Water Tank
24,Fire Hydrants
20,Deciduous and Evergreen Trees
39,ft Split rail fencing
39,ft Concrete Perimeter Fencing
9,Gallon AST at Hospital Clinic
30,T Ecoder Meters wTransmitters
39,linear feet of ft split rail fencing see fence map showing locations of Districtownedmaintained fences
39,ft of Concrete Fencing
31,Mgal Water Storage Tank
31,M Gallon Tank welded steel
31,MG Water Tank
32,Backflow H
31,Million Gal WaterStorage Tank
31,Million Gallon Tank
31,Mill Gal water storage tank concrete
31,Booster Pump Vault
23,W double lights throughout District
31,Metering Devices
10,Benches
32,Backflow Preventers
32,Backflow Preventers Throughout District each
10,Dog Stations
10,DogiPots
32,Irrigation Controllers
23,Mail Kiosks
10,Metal Benches
10,Metal Bike Racks Light Rail Connection
32,MeterBackflow Preventors each
31,Permalog well loggers with ft Tether PRUS ea
10,Picnic Shelters Wood incl Rotary Pavilion
0,RightLeft lane must turn rightleft
10,Stone Pillars
10,Stone Street Columns
39,Trash Cans
39,Trash Receptacles
20,Trees Light Rail Connection
39,Walk
6,x Equipment Shed
6,Steel Storage Tank
39,Brick Wall
6,Kittredge Park Equipment
39,ft of Pipeline
31,Lift Stations underground pumps pipes vault with above ground control panel
31,Gal Water Storage Tank
31,Gallon Steel Tank B
31,Gallon Steel Tank C
31,Gallon Tank Controls
31,Gallon Water Tank Below Grade
31,Gallon Water Tank Roof Membrane ONLY
31,Storage Tank
31,Gallon Diesel Tank
31,Gallon Fuel Tank
39,lf of sidewalks
19,G Convault Fuel Tank hole course
31,K Gallon Underground Water Tank
31,CU FT Pumping Station Below Grade
23,Street Lights
39,Masonry fence columns
39,Decorative Polesdouble sided banner
31,E Pump StationBrick building
8,Ksqft Office owned by district Ksqft
31,th Filling Lift Station
10,Benches woodmetal
23,double light fixtures
30,Generator Tanoa
10,Park Benches
23,Pedestrian Lights
10,Picnic Trash Rec BBQ Benches
32,Pump Station Treatment Plant
10,Small Monuments
39,linear feet of sidewalks in Districtowned open spaces
10,Arrowhead Park ShelterBridgeEquip
32,Backflow J
31,Gallon Aboveground Potable Water Storage Tank
0,Lot Markers
20,th Tree Lawn Landscape Materials rock shrubs flowers
20,th Tree Lawn Rainbird Irrigation System
20,th Tree Lawn Trees
20,trees throughout open spaces in Foxton Village subdivision
39,Linear Feet Fencing at per LF
20,trees North Range Village Subdivision
39,LF privacy fence
32,Irrigation Clocks
39,flagpoles
32,backflow valves and cages for sprinkler systems
30,Controllers Throughout District each
10,Doggie Stations
23,Lampposts
39,Planters
31,Pump Station
23,Single Light Fixtures
23,Streetlights
32,X Modular Building
32,Sanitary Lines LF within District
39,Vinyl Fencing
10,sq ft of landscapingirrigation in front of monument to the beginning of other average of per sq ft
10,Indian Hills Center Equipment
10,Steel Fence around Pool
39,lf Concrete fencing
39,Shrubs Throughout District
31,th Avenue Lift Station incl hp pumps VF drives wetwell controls
23,ft Street lights each
31,Water Meters wData Collection
8,X Mobile Office Lab Trailer
10,Bike Racks
23,Bollard Lights
23,Stone Bollards
39,Wilmot Elem Field Fence
20,trees in Districtowned open spaces
20,Landscape Trees each
39,Shrubs each
20,Deciduous Trees
20,Trees and Pines Average each
32,Irrigation Clocks throughout the District
23,Lighting Fixtures
23,Mail Kiosks throughout district each
23,Mailbox Units
10,Metal Ballard Lights at Parkwood Park each
10,Metal Pole Lights at Gateway Park each
10,Monuments
10,Small and Medium Monuments
39,Ameron VES Victorian Pole
10,Buffalo Park Fields Equipment
31,Valve Stations
23,W Single Street Lights throughout District
26,th Underpassretaining walliron fence
20,Trees Shrubs Flowers in Medians
30,Metering Devices
32,Backflow Preventers throughout District
30,Controllers
24,Fire Hydrants and Shutoff Valves Loop PipingPRV VaultPipeline
23,Reed Walks Lights
39,Parmalee Elem Field Equipment
31,Gallon Tank
31,Gallon Tank Fawn Trail
31,Gallon Tank West Elk Park
31,Gallon Underground Storage Unit
32,SF of Irrigation Systems
26,lf of Curbs and Gutters
39,Light Pole Banners each
31,Gallon Water Vault
11,Foot Parking Lot Light Poles
23,Door Mail Kiosks
15,Drum Metal Hazmat Chemical Storage Building
23,Lights Gazebo
23,Mailboxes Filing
10,Metal Decorative Lights at Gateway Park each
10,Metal Floor Lights at Gateway Park each
10,Vista Parkway Entrance Accent Columns each
25,Evergreen Middle School Field Equip
31,Gallon Steel Undrgound Tank Pipes
23,ft Hadco Lights
39,LF rail fence
20,trees in Districtownedmaintained open spaces
39,Artistic Planters
10,Irrigation Controller Boxes throughout Golf Course
23,Site Lights
26,Speed Limit
23,Utility Boxes and Underground Conduits
39,Bergen Meadow Field Equipment
39,Small Planters
10,Monument Sign Base
23,Signs throughout the District
10,Sunflower Sculptures
32,Sanitary Lines LF in District
10,Bergen Valley Field Equipment
31,Gal Water Tank TP including Improvements
31,Gallon InGround Concrete Tank
6,K H Storage Tank
32,Hole Irrigation System including all irrigation components sprinkler heads field controllers central computer piping zone valves and related attachments substitutions and accessories Course of Construction
10,hole Monument Sign
23,pole Street Lighting quad head
23,pedestrian street lights
30,Kohler RZG Generator
30,Kohler RZ Generator
30,Onan GHABA Generator
30,M Gallon Tank Sproul welded steel tank SI fencing
31,MG Water Storage Tank
10,Picnic Tables throughout District
31,Solarbee Machines
31,Solarbees Machines
23,Traveling Screens
31,Gallon Tanks Underground
23,Stone Columns
31,Gallon Tanks underground
19,Above ground StorageFuel Tank DieselGasloine WeMac AST
10,Art Sculptures
32,backflow preventers
32,Backflow Prevention
32,Backflow Valves
32,Backflow Valves Cages
39,Bearproof Trash Cans East Portal
10,Benches at Lake Lake Park
10,Benches at Maplewood Park
10,Benches at Tibet Park
23,BPP Testing Equip CC and CT
10,Brick and Stucco Monument Signs
23,Bridge Columns Railings
23,Bridge Columns and Railings
10,Bronze Statues of Deer
23,Clevus Marina Light Poles
32,Clock and Backflow Preventers
36,Commercial Grade Tables
10,Commerical Outdoor BBQ
23,concrete inground K tanks
23,Daktronic Scoreboards
10,Decorative Masonry Columnswith electric signage
10,Decorative Towers at Entrances
32,Digesters w Equipment Covers
10,Drinking Fountains each
23,Electric Entry Gates
23,Electronic Controllers
11,Elevators in East Parking Structure
23,Entrance Signs
10,Entrty Monuments
10,Entry Monument
10,Entry Monuments
20,Flowerbeds
10,Gazebos at Maplewood Park
10,Geisel Grass Sculptures each
10,Hunter Irrigation Clocks Pedestals at Parkwood Park
32,Irrigation Backflows throughout District
32,Irrigation Controllers throughout District
10,Lap Pool and Kiddie Pool with slide fountain Fencing
10,Large Monuments
11,Light Poles in Parking Area
23,Logo Signage at Entry Area
23,LogoSignage Entry Area
31,M Gal Tank
5,Mail Kiosks
10,Major Monuments
23,Manholes LF Pipe deductile Iron w H sulfide proof section
23,Manholes LF Pipe Vet Clay
23,Medians All Items
10,Metal Benches at Villages Filing each
27,Metal Bus Shelters Light Rail Connection
10,Metal Doggie Pot Station at Villages Filing each
10,Metal Doggie Pot Stations at Gateway Park each
10,Metal Flood Lights at Parkwood Park each
10,Metal Horse Statues
10,Metal Park Benches
10,Metal Park Benches Trash Can
10,Metal Park Signs
10,Metal Picnic Tables
10,Metal Picnic Tables at Parkwood Park each
10,Metal Picnic Tables at Villages Filing each
10,Metal Structures
10,Metal Trash Cans at Parkwood Park each
39,Metal Trash Cans at Villages Filing each
31,Mill Gal water storage tankconcrete
31,Million Gallon Steel Water Tank
31,Million Gallon Water Tower incl Site Improvements Fencing
10,Minor Monuments
8,Modular Offices X
10,Monuments with Electrical
10,Neighborhood Accent Columns
6,Newspaper Corral
6,Newspaper Corrals
10,Padde Courts x
11,Parking Directionals
23,Pet Waste Stations
10,Picnic Shelters
10,Picnic Tables Rocking Dinosaur
10,Picnic Tables at Berry Park
10,Picnic Tables at Lake Lake Park
10,Picnic Tables at Prentice Valdai Park
10,Playgrounds and EquipmentPicnic Area
10,Playgrounds Including all Play equipment and Safety Surfacing
31,pump houses each
31,Pump Stations
39,Rail Fence
10,Rain Shelters Hole
10,Sanctuary Pointe Entry Monumnets with Lighting
23,SCADA Equipment in Shelter
10,Shade Structures
10,Shade Structures Foot Iron Fence and Gate and Outdoor Kitchen
20,Small Grain Bins
10,Statues
10,Stone Entry Momuments
10,stone sculptures stone benches
10,Swing Sets
30,Telemetry Systems Ranch Grainmill
10,Tennis Courts surfaces fences nets
10,The Heights at Jackson Creek Entry Monuments with Lighting
39,Trash Receptacles located within the District
10,Trellis Structures Pool
31,Water Booster Tanks
31,wells
32,Backflow Preventer at Parkwood Park
39,Linial Feet Masonry Fence
23,Linear Ft of Structural Retaining Walls ft in Height
10,Lake House Restroom Facility
31,Million Gal Water Tank NTS
31,Million Gallon Water Tank Underground
31,Million Gal Water Tank NTS including Improvements
24,Booster Pump House Fire Station
39,Concrete Planters on Ground
32,Irrigation System Controls
39,Movable Planters
11,ParkingNo Parking Signs
23,Pedastrian Lights each
20,Trees Throughout District
15,Gallon Above Ground Chlorine Tank
30,kW Solar Array
31,Gallon Above Ground Water Tank
31,Gallon Concrete Tank
31,Gallon Tank Coryell Tank
23,lf of Steel Fencing
30,Cummins GGHH Generator
10,East Elementary Playground
10,Prairie Sky Park Playground
23,Metal Street Lights
30,Cummins DSFAA generator
30,Whitley x Trailer bed bath model
30,Generac kW Liquid Propane Vapor Generator
31,K Gallon Underground Tank
23,Light Poles Total Limit Divided Equally per Pole
23,Mail Boxes throughout property
32,Backflow Preventers each
10,Bearproof Trash Recycle Cont Stanley Park
31,well sites each
23,Bollards
32,Station Controller Backflow
8,x Mobile Office
32,LF and LF Storm Sewer Lines
23,Pole Lights
39,Bearproof Trash Containers
10,Picnic Tables Stanley Park
10,Alderfer Park Equipment
23,Light Poles K per pol
31,Gal Water Tank TP
31,Gallon InGround Tank Booster Pump Station
31,Gallon Steel Storage Tank
19,gal above grnd fuel tanks
19,G Fuel Storage Tank Marina
23,Light Poles
10,Doggie Station throughout District Each
10,Faux Stone Columns
23,Mail Box Shelters
10,Buchanan Park Equipment
11,Parking Lot Lights
20,Deciduous Trees throughout District
31,Gal Water Tank TP BaldynDel Norte
10,Bleachers RowPurchased Apr
10,Bleachers RowPurchase Aug
7,Car Garage Car Carport
31,M Gallon Water Tank
31,nd Blue Lake Tank Steel
10,Picnic Tables Benches
31,x KSB Amarex NS Grinder Pumps with Holding Tank
31,Solarbees
39,Ft Rail Fences
10,acre park incl stone pillar monuments Decorative vertical stone feature decorative horizontal stone feature retaining wall park benches picnic table chairs trash cans carousel tables
10,Air Foils Pulbic Art Civic Plaza
10,baseball field dugouts bleachers covered tables benches
6,Bay Shop
10,Benches with Backrests
10,Bleachers RowPurchased Oct
10,Bronze Life Size Wolf Sculptures Each
23,Divider Nets between the courts
23,Dog Waste Bag Dispensers
23,Dog Waste Stations
10,Entry Monument Signs
10,Exercise Structures at Berry Park
10,Fitness Equipment Stations
10,Golf Course PondsHeadgateDiversion Culverts
10,Homestead Entry Monuments with Median Landcaping
30,HVAC Units
23,Large Columns ea
10,LED Lights in Park each
10,Light Poles Pool Complex
23,Light Posts at Entry Way
39,Metal Trash Receptacles Light Rail Connection
39,Miles of woodbrick fence
10,park Trash CanP
10,PcsPlayground Equipment Mound Cover
23,Pedestrian Bridges
10,Picnic Table Shelters at Marys Lake Campground
31,Pumps w Controller Houses
39,Rail Fence Filing A Tract B
39,Rail Fence Filing B
39,Rail Fence Filing Tract C
39,Rail Fence Privacy Fence Brick Collumns
23,Rail Vinyl Fencing LF
39,Rail Wood Fence Type MertitagePrairieview
39,Rail Wood Fence Type SummerfieldsPreserve
39,Rail Wood Fence Type Tallgrass
39,Rail Wood Fence Type
10,RestroomsCherokee
23,score boards
23,Solar Bees each
30,Solar Controllers
10,StarShape Benches
10,SteelPlexi Monuments
23,Stop signsstandard postwstreet sign
19,Gallon Underground Diesel Fuel Tank with Gauge Leak Detector
23,ft Split rail fencing
23,ft ft tall perimeter fencing
23,ft of Split Rail Perimeter Fencing
23,ft ft tall privacy fencing
31,Million Gallon Water Tank with Improvements
32,Backflow Prevention Assembly
32,Irrigation Meter Controller
23,Pedestrian Lights Double Luminaries
23,x Shed
23,Valve Vaults
31,Gal Tank
31,Gallon Clear Well Tank
10,Sugarbush Graham Park Equip
23,lf of cable fencing
31,Gallon Above Ground Tank LFH welded steel tank incl scada
31,Gallon Underground Water tank
31,Gallon Water Tank Above Ground
31,Water Tank
20,Planted Trees and Shrubs
20,Gal Propane Tank wVaporizer Bulkhead regulators with piping associated ancillary hardware
31,K Gallon Underground Water Tank with Site Improvements
20,trees in open spaces ownedmaintained by District
6,x Cleary Frame Metal Clad StorageShop Building
31,G Water Tank and SCADA System
10,Stagecoach Park
23,Single Lights
39,Linear Feet of Fence throught the District
39,Blue Planters
23,Single Street Lights
23,Light Poles each
6,Gal Steel Above Ground Storage
23,ft street lights ea
10,Pavillion Picnic Structure
23,Double Street Lights
32,Irrigation Smart Controllers
23,Light Poles Light Rail Connection
39,Perimeter Fence StoneBrick Columns
10,Picnic Tables Lake Estes Trail
23,Sprinkler Controll Units
23,Bay Garage
30,Phase Generator
39,Rail Wood Fences LF Masonry Pilasters
23,rail ft tall split rail fencing linear feet
30,rd Floor Headquarters Includes Generators and RTU Unit
39,Annual Planters
23,Backflow preventers
31,Backflow Preventers Aux Pumps Irrigation Timers
10,Bearproof TrashRecycle Cans Marys Lake
10,Benches Conejos Plaza
39,foot fence Type
23,Grain Bins
10,Grills
10,Horse Statues
23,Iron Gates Wing Operator
32,Irrigation Clocks th th
23,LED Street Lights
10,Lined Ponds
10,Metal Benches SM Light Rail Connection
10,Metal Benches at Gateway Park each
10,Metal Benches at Parkwood Park each
10,Metal Lights around Waterfall at Gateway Park each
10,Metal Picnic Tables at Gateway Park each
10,Metal Trash Cans at Gateway Park each
31,Meter Pits and Pumphouse Meters
10,Neighborhood Entrance Monuments
39,Orn Iron Fence Column
39,Outside Stone Planters
10,Park Lights
23,Pet waste Stations
23,Rainbird Zone Controllers
30,SCADA Transmitters
39,Split Rail Fence
10,Stone Columns
10,Stone Columns each
10,Stone Columns wPlaquess each
10,Tennis Court Nets
10,Tennis Courts LightsFencingSurface
39,Three Rail Fence w Column
2,Unit apartment Building Bedrooms bedroom
31,water feature pumps at ea
39,Wood Fence Type
10,Wooden Benches
23,linear feet of perimeter fencing including brick columns along th Ave and Highway
39,linear feet of ft tall perimeter fencing see fence map showing locations of Districtmaintained fences
23,W SidewalkMedian Pole Lights throughout District
20,Evergreen Trees throughout District
32,Irrigation Systems each underground above ground equipment
6,x Metal Storage Container Rented
31,Gal Concrete Water Tank
23,Gallon Diesel Above Ground Tank
23,Pole Street Lighting double head
11,Parking Kiosk
23,Brick Pedistal Fencing
23,Parfet Meter Hut
39,Acres of Fence with gate
23,Neighborhood Signs
24,Fire Hydrants per schedule on file
23,Type G Lights
23,Station
32,Station backflow
32,Station backflows
6,x Aluminum Storage Container
23,Rail Ameristar Fencing on Tract I
23,In Ground Lighting
23,ft tall rail split rail fencing linear feet
11,level Precast Parking Garage stalls Schindler Traction Elevator Transit Center Waiting Area includes restrooms
31,M Gallon Water Tank incl Site Improvements Fencing
11,Unit Apartment Bulding Covered Parking incl residential units SI signage bollards
23,X Split Rail Fencing
23,X Fencing
10,ft picnic tables
32,Backflow Prevention Devices
32,backflow valves including cages
30,BPP Testing Equip CC PC CT CTP CTP
23,Brick Columns
23,Controllers
23,fiberglassmetal signs
39,ft Privacy Fence
30,Generators
32,Irrigation Controls
23,Large Entrace Signs
23,Manholes LF SDR Pipe
10,monument signs including lighting along Bromley Lane
10,monuments
10,Picnic Tables Trash Rec BBQ Grills
23,Polygon Shelters
23,Rainbird Zone Clocks
10,sets of Bleachers
10,Small Banner Signs
23,SteelLog Signs
23,Stop sign standard street post
10,Stop sign stonewood monumentwsigns
31,Wells and
39,wood Fence Type SummerfieldsPreserve
39,wood Fence Type Tallgrass
39,wood Fence Type MeritagePrairieview
23,Gallon PreFab Concrete Cistern
39,linear feet of wood fencing see district fence map for districtowned fence locations
23,Maintenance Building
10,benches
20,year old trees
31,Gal Above Ground Water Tank
31,Gallon Steel Water Tank
31,Gallon Tank underground
19,Gal Fuel Storage Tank
19,Gallon Above Ground Storage Tank regular fuel
6,Gallon Above Ground Storage Tank diesel
19,Gallon Fuel Tank including Contents the fuel itself
31,Gal Water Strg Tnk Below Grade
31,gallon above ground
31,Gallon capacity Water Tank welded steel tank
31,Gallon Tank Aspen Junction
31,gallon tank welded steel tank
31,gallon Water Storage Tank
31,Gallon Water Tank including Fencing
20,Planted Trees Shrubs
10,Picnic Tables Estes Park CG at Marys Lake
31,Water Vault
23,linear ft of stone fencing
31,nd Place Lift Station
7,Garage Bldg B
8,Office Bldg A
7,Storage Bldg D
32,Backflow preventers throughout District each
10,x gravel playground with playground equipment
24,Fire Hydrants Throughout District
23,Gallon Ornamental Grasses
23,Gallon Shrubs
23,Alameda Lights
39,Cedar Fence
39,Concrete Planters on Rock Columns
23,Conservatory Ponds Trickle Channel
10,Entry Way Monuments
10,ft Metal Fence Surrounding Pool
23,Ft Privacy Fencing
39,high Wood Fence
23,Illuminated Lanterns Illuminated Letters Illuminated Logo
23,inch pressure valve
39,Ironwood Privacy Fence w Masonry Columns
39,large Planters
23,Lights
10,Metal Benches LG Light Rail Connection
39,Metal Trash Cans
31,Mill Water storage tankconcrete
39,Ornamental Wall Fence
23,pedistal w lights
10,Picnic Tables
10,Planters Conejos Plaza
39,Privacy Fence
39,Privacy Fence w Column
23,SCADA Sites
23,sets of inground lighting
23,Shade Structures
