Occupancy description,scheme,label
"""Steel Dream""",ATC,10
"""Sunflowers"" Art Sculpture",ATC,10
"""The Secret Garden"" Bronze Sculpture",ATC,10
"""Tree of Life"" Public Art",ATC,10
"""Turtle-Dove Chimera"" Sculpture",ATC,10
"""Windy Daze""",ATC,10
#008-001 Mailbox stop outside mailboxes,ATC,23
#10 Green Netting,ATC,39
#2 Well House,ATC,31
#3 Booster Pump Bldg,ATC,31
#6 Green Rain Shelter (9Hole),ATC,10
#6 Tee Box Rain Shelter (9 Hole),ATC,10
(1) 100K Gallon Water Tank,ATC,31
(1) 115K Gallon Water Tank,ATC,31
"(1) 12,500,000 BTU Boiler",ATC,33
"(2) 1"" backflow device",ATC,32
(2) 100K Gallon Water Tanks,ATC,31
(2) 32K Gal. Water Tanks/BPS/Electrical,ATC,31
(2) 5 Row Bleacher Seating @ $5000 each,ATC,10
(2) Fuel Tanks,ATC,19
(2) Irrigation Ponds,ATC,32
(2) Irrigation Pumps,ATC,31
(2) Return Flow Structures,ATC,32
(2) Tennis Courts,ATC,10
(2) Wet Wells,ATC,31
"(26) 3"" Trees",ATC,20
"(28) 3"" Trees",ATC,20
(3) Camp Sites w/Tables & BBQs,ATC,10
(3) Monument Signs,ATC,10
(4)  10HP Pumps & (13)  5HP Pumps,ATC,31
(4) BPP: Testing Equipment (CT-P2/CT-1/CT-2/CT-P1),ATC,17
"(4) Fuel tanks - above ground ($2,500 each)",ATC,19
(4) Niagara Signal Poles,ATC,23
(4) Niagara Signal Signage,ATC,23
(4) Tennis Courts including Fencing and Nets,ATC,10
(5) Interpretive Signs,ATC,23
(5) Tennis Courts @ Robert F. Clement Park,ATC,10
(6) Pickleball Courts @ Robert F. Clement Park,ATC,10
(662) Trees,ATC,20
"(9) 5"" Trees",ATC,20
"(Dryden) 5 Irrig. Well Structures, 5 irrigation sprinklers, 2 Grain Bins",ATC,32
.5 Mill Gal Brown Tank,ATC,31
0.5 Mgal Water Storage Tanks,ATC,31
1,ATC,0
02) Pump in Underground Vault,ATC,31
07) Pump- Hoyt & Florida Pump UG Vault,ATC,31
1 - Fish Cleaning Station,ATC,20
1 - Restroom @ Estes Park Campground-East Portal,ATC,10
1 - Restroom @ Estes Park Campground-Mary's Lake,ATC,10
1 1/2? Backflow,ATC,32
1 500K Gallon Tanks #4 and 1 100K  Gallon Tank,ATC,31
1 6 inch pressure reducing valve,ATC,39
1 Acre Median,ATC,10
1 Backflow Preventer,ATC,32
1 barbeque grill,ATC,10
1 BD House - Schmuck (WGP),ATC,31
1 BPP: Testing Equip - (CC-10),ATC,17
1 BPP: Testing Equip - (CC-7),ATC,17
1 BPP: Testing Equip - (Lakeview Dr),ATC,17
1 BPP: Testing Equip - (PC-1),ATC,17
1 Bronze Big Horn Sheep Statue,ATC,10
1 Brown Bear Statue - 4' including rocks/medians/curbing,ATC,10
1 Bull Moose Statue - 6' including rocks/medians/curbing,ATC,10
1 Clock & Backflow Preventer,ATC,32
1 Clock and Backflow Preventer,ATC,32
1 Deer Statue - 6' including rocks/medians/curbing,ATC,10
1 Elk Statue - 7' including rocks/medians/curbing,ATC,10
1 Estate Monument,ATC,10
1 Field Flow Tester -MW-9 MonitoringWell,ATC,31
1 Fountain,ATC,10
1 Gazebo,ATC,10
1 Major Monument,ATC,10
1 Mil Gallon Above Ground Tank,ATC,31
1 Million Gal. Water Tank - Production 3(booster 5),ATC,31
1 Million Gal. Water Tank #2 @ TP1,ATC,31
1 Million Gal. Water Tank @ TP1,ATC,31
1 Million Gallon Water Tank incl Site Improvements (Fencing),ATC,31
1 Minor Monument,ATC,10
1 Monument,ATC,10
1 Monument Sign,ATC,10
1 Native American Brave Statue incl. rocks/medians/curbing,ATC,10
1 Newspaper Corral,ATC,5
1 Play Structure,ATC,10
1 Playground,ATC,10
1 Porta Potty Shelter,ATC,10
1 Restroom,ATC,10
1 Secondary Clarifier (incl: drive & collector mechanism),ATC,32
1 Silo,ATC,32
1 Transformer Enclosure,ATC,30
"1 Tri-Oxyn Chemical Tank - 6,000 Gallon",ATC,15
"1,000,000 Gal Above Ground Tank",ATC,31
"1,000,000 Gallon Water Tank",ATC,31
"1,000,000 Gallon Water Tank #2",ATC,31
"1,054 Fire Hydrants",ATC,24
"1,100 Deciduous and Evergreen Trees",ATC,20
"1,100ft - Split rail fencing",ATC,39
"1,100ft Concrete Perimeter Fencing",ATC,39
"1,200 Gallon AST at Hospital & Clinic",ATC,9
"1,400 T10 Ecoder Meters w/Transmitters",ATC,30
"1,800 linear feet of 4-ft split rail fencing (see fence map showing locations of District-owned/maintained fences)",ATC,39
"1,920 ft of Concrete Fencing",ATC,39
1,ATC,0
1.0 Mgal Water Storage Tank,ATC,31
1.2M Gallon Tank; welded steel.,ATC,31
1.45 MG Water Tank,ATC,31
1.5 Backflow #H006954,ATC,32
1.5 Million Gal Water/Storage Tank,ATC,31
1.5 Million Gallon Tank,ATC,31
1.5Mill Gal water storage tank /concrete,ATC,31
1/2 Booster Pump Vault,ATC,31
1? Backflow,ATC,32
10  400W double 30' lights throughout District,ATC,23
10  Metering Devices,ATC,31
10 6' Benches,ATC,10
10 Backflow Preventers,ATC,32
10 Backflow Preventers Throughout District @$2614 each,ATC,32
10 Benches,ATC,10
10 Dog Stations,ATC,10
10 DogiPots 10,ATC,10
10 Irrigation Controllers,ATC,32
10 Mail Kiosks,ATC,23
10 Metal Benches,ATC,10
10 Metal Bike Racks- Light Rail Connection,ATC,10
"10 Meter/Backflow Preventors @ $25,000 each",ATC,32
10 Permalog well loggers with 10ft Tether PR4US @ $634ea,ATC,31
10 Picnic Shelters (Wood) incl Rotary Pavilion,ATC,10
10 Right/Left lane must turn right/left,ATC,0
10 Stone Pillars,ATC,10
10 Stone Street Columns,ATC,10
10 Trash Cans,ATC,39
10 Trash Receptacles,ATC,39
10 Trees - Light Rail Connection,ATC,20
10' Walk,ATC,39
10 x 8 Equipment Shed,ATC,6
10),ATC,0
"10,000 Steel Storage Tank",ATC,6
"10,050 Brick Wall",ATC,39
10.  Kittredge Park Equipment,ATC,6
10; 8' Benches,ATC,10
100 ft of Pipeline,ATC,39
"100 Lift Stations (underground pumps, pipes, vault with above ground control panel)",ATC,31
"100,000 Gal Water Storage Tank",ATC,31
"100,000 Gallon Steel Tank B",ATC,31
"100,000 Gallon Steel Tank C",ATC,31
"100,000 Gallon Tank & Controls",ATC,31
"100,000 Gallon Water Tank - Below Grade",ATC,31
"100,000 Gallon Water Tank - Roof Membrane ONLY",ATC,31
"100,000 Storage Tank",ATC,31
1000 Gallon Diesel Tank,ATC,31
1000 Gallon Fuel Tank,ATC,31
1000 lf of sidewalks,ATC,39
1000G Convault Fuel Tank (18 hole course),ATC,19
100K Gallon Underground Water Tank,ATC,31
100K Gallon Water Tank,ATC,31
1050 CU FT Pumping Station - Below Grade,ATC,31
106 Street Lights,ATC,23
107 Masonry fence columns,ATC,39
108 Decorative Poles/double sided banner,ATC,39
109 Benches,ATC,10
10E Pump Station/Brick building,ATC,31
10Ksqft Office (1/2 owned by district 5Ksqft),ATC,8
10th Filling Lift Station,ATC,31
11 Benches (wood/metal),ATC,10
11 double light fixtures,ATC,23
1-1 Generator - Tanoa,ATC,30
11 Park Benches,ATC,10
11 Pedestrian Lights,ATC,23
11 Picnic /11 Trash Rec/4 BBQ/4 Benches,ATC,10
1-1 Pump Station & Treatment Plant,ATC,32
11 Small Monuments,ATC,10
11 Street Lights,ATC,23
"11,200 linear feet of sidewalks in District-owned open spaces",ATC,39
11.  Arrowhead Park Shelter/Bridge/Equip,ATC,10
1-1/2 Backflow #J001541,ATC,32
"110,000 Gallon Aboveground Potable Water Storage Tank",ATC,31
112 Lot Markers,ATC,0
"112th Tree Lawn - Landscape Materials (rock, shrubs, flowers)",ATC,20
112th Tree Lawn - Rainbird Irrigation System,ATC,20
112th Tree Lawn - Trees (54),ATC,20
114 trees throughout open spaces in Foxton Village subdivision,ATC,20
1142 Linear Feet Fencing at $15 per LF,ATC,39
115 trees - North Range Village Subdivision,ATC,20
1180 LF 5' privacy fence,ATC,39
12  Irrigation Clocks,ATC,32
"12 80"" flagpoles",ATC,39
12 backflow valves and cages (for sprinkler systems),ATC,32
12 Benches,ATC,10
12 Benches - 6 ',ATC,10
12 Controllers Throughout District @ $2135 each,ATC,30
12 Doggie Stations,ATC,10
12 Lampposts,ATC,23
12 Pedestrian Lights,ATC,23
12 Planters,ATC,39
1-2 Pump Station,ATC,31
12 Single Light Fixtures,ATC,23
12 Streetlights,ATC,23
12 Trash Cans,ATC,39
12 X 44 Modular Building,ATC,32
"12"" Sanitary Lines 723 LF within District",ATC,32
"12,500 Vinyl Fencing",ATC,39
"12,600 sq ft of landscaping/irrigation in front of monument to the beginning of other @ average of $8 per sq ft",ATC,10
12.  Indian Hills Center Equipment,ATC,10
120' Steel Fence around Pool,ATC,10
1200 lf Concrete fencing,ATC,39
120061 Shrubs Throughout District,ATC,39
"120th Avenue Lift Station (incl. (2) 60hp pumps, VF drives, wetwell & controls)",ATC,31
"121- 14 ft. Street lights @ $1,059 each",ATC,23
125 Water Meters w/Data Collection,ATC,31
1286 LF 8' privacy fence.,ATC,39
12X48 Mobile Office - Lab Trailer,ATC,8
13 Bike Racks,ATC,10
13 Bollard Lights,ATC,23
13 double light fixtures,ATC,23
13 Fire Hydrants,ATC,24
13 Pedestrian Lights,ATC,23
1-3 Pump Station,ATC,31
13 Stone Bollards,ATC,23
13 Trees,ATC,20
13.  Wilmot Elem Field Fence,ATC,39
130 Trees,ATC,20
130 trees in District-owned open spaces,ATC,20
132 Street Lights,ATC,23
133 Landscape Trees ($800 each),ATC,20
1333 Shrubs ($60 each),ATC,39
"1363 Deciduous Trees 2""",ATC,20
1385 Trees and 473 Pines Average $551 each,ATC,20
14 Backflow Preventers,ATC,32
14 Irrigation Clocks throughout the District,ATC,32
14 Lighting Fixtures,ATC,23
14 Mail Kiosks throughout district  $1800 each,ATC,23
14 Mailbox Units,ATC,23
14 Metal Ballard Lights at Parkwood Park--$2000 each,ATC,10
14 Metal Pole Lights at Gateway Park--$6000 each,ATC,10
14 Monuments,ATC,10
14 Small and 2 Medium Monuments,ATC,10
"14, 13' Ameron VES-4 Victorian Pole",ATC,39
14.  Buffalo Park Fields Equipment,ATC,10
141 Trees,ATC,20
141 Valve Stations,ATC,31
144  400W Single 25' Street Lights  throughout District,ATC,23
"144th Underpass,retaining wall;iron fence",ATC,26
"146 Trees, Shrubs, Flowers in Medians (4)",ATC,20
15  Metering Devices,ATC,30
15 Backflow Preventers throughout District,ATC,32
15 Bike Racks,ATC,10
15 Controllers,ATC,30
15 Fire Hydrants and 48 Shut-off Valves + Loop Piping/PRV Vault/Pipeline,ATC,24
15 Pedestrian Lights,ATC,23
15 Reed Walks Lights,ATC,23
15 Trash Cans,ATC,39
15 Trash Receptacles,ATC,39
15 Trees,ATC,20
15.  Parmalee Elem Field Equipment,ATC,39
150 Deciduous and Evergreen Trees,ATC,20
"150,000 Gallon Tank",ATC,31
"150,000 Gallon Tank - Fawn Trail",ATC,31
"150,000 Gallon Tank - West Elk Park",ATC,31
"150,000 Gallon Underground Storage Unit",ATC,31
"150,000 SF of Irrigation Systems",ATC,32
1500 lf of Curbs and Gutters,ATC,26
"152 Light Pole Banners @ $10,000 each",ATC,39
"158,000  Gallon Water Vault",ATC,31
"158,800 Gallon Water Vault",ATC,31
15-Foot Parking Lot Light Poles (4),ATC,11
16 Door Mail Kiosks,ATC,23
16 Drum Metal Hazmat Chemical Storage Building,ATC,15
16 Lights & Gazebo,ATC,23
16 Mailboxes - Filing 1,ATC,23
16 Metal Decorative Lights at Gateway Park-$3000 each,ATC,10
16 Metal Floor Lights at Gateway Park--$4000 each,ATC,10
16 Trees,ATC,20
"16 Vista Parkway Entrance Accent Columns @ $3,000 each",ATC,10
16.  Evergreen Middle School Field Equip,ATC,25
"160,000 Gallon Steel Undrgound Tank & Pipes",ATC,31
"16-14ft Hadco Lights @$3,705",ATC,23
1615 LF 3 rail fence.,ATC,39
163 trees in District-owned/maintained open spaces,ATC,20
17 Artistic Planters,ATC,39
17 Benches,ATC,10
17 Irrigation Controller Boxes throughout Golf Course,ATC,10
17 Site Lights,ATC,23
17 Speed Limit 25,ATC,26
17 Utility Boxes and Underground Conduits,ATC,23
17.  Bergen Meadow Field Equipment,ATC,39
170 Small Planters,ATC,39
18 Benches,ATC,10
18' Monument Sign & Base (1),ATC,10
18 Signs throughout the District,ATC,23
18 Sunflower Sculptures,ATC,10
18 Trees,ATC,20
"18"" Sanitary Lines, 2,754 LF in District",ATC,32
18.  Bergen Valley Field Equipment,ATC,10
"180,000 Gal. Water Tank @ TP3 including Improvements",ATC,31
"180,000 Gallon In-Ground Concrete Tank",ATC,31
181 Trees,ATC,20
185K H20 Storage Tank,ATC,6
"18-Hole Irrigation System including all irrigation components, sprinkler heads, field controllers, central computer, piping, zone valves, and related attachments, substitutions and accessories (Course of Construction)",ATC,32
18-hole Monument Sign,ATC,10
19 32' pole Street Lighting quad head,ATC,23
19 double light fixtures,ATC,23
19 pedestrian street lights,ATC,23
19 Planters,ATC,39
1999 Kohler 100RZG Generator,ATC,30
1999 Kohler 20RZ Generator,ATC,30
1999 Onan 12GHAB-101A Generator,ATC,30
1M Gallon Tank - Sproul; welded steel tank.  SI: fencing,ATC,30
1MG Water Storage Tank,ATC,31
1-Restroom @ Estes Park Campground-East Portal,ATC,10
2  Picnic Tables  throughout District,ATC,10
2 - Solarbee Machines,ATC,31
2 - Solarbees Machines (05/22/09),ATC,31
2 - Traveling Screens,ATC,23
"2 20,000 Gallon Tanks - Underground",ATC,31
2 5' Benches,ATC,10
2 6' Stone Columns,ATC,23
"2 6,500 Gallon Tanks - underground",ATC,31
2 Above ground Storage-Fuel Tank- 1-Diesel/1-Gasloine We-Mac 520AST,ATC,19
2 Art Sculptures,ATC,10
2 backflow preventers,ATC,32
2 Backflow Prevention,ATC,32
2 Backflow Valves,ATC,32
2 Backflow Valves & Cages,ATC,32
2 Bearproof Trash Cans East Portal,ATC,39
2 Benches,ATC,10
2 Benches at Lake & Lake Park,ATC,10
2 Benches at Maplewood Park,ATC,10
2 Benches at Tibet Park,ATC,10
2 Bike Racks,ATC,10
2 BPP: Testing Equip - (CC-10 and CT-2),ATC,23
2 Brick and Stucco Monument Signs,ATC,10
2 Bridge Columns & Railings,ATC,23
2 Bridge Columns and Railings,ATC,23
2 Bronze Statues of Deer,ATC,10
2 Clevus Marina Light Poles,ATC,23
2 Clock and Backflow Preventers,ATC,32
2 Commercial Grade Tables,ATC,36
2 Commerical Outdoor BBQ,ATC,10
2 concrete in-ground 100K tanks,ATC,23
2 Daktronic Scoreboards,ATC,23
2 Decorative Masonry Columns/with electric signage,ATC,10
2 Decorative Towers at Entrances,ATC,10
2 Digesters w/ Equipment & Covers,ATC,32
"2 Drinking Fountains @ $2,490.92 each",ATC,10
2 Electric Entry Gates,ATC,23
2 Electronic Controllers,ATC,23
2 Elevators in East Parking Structure,ATC,11
2 Entrance Signs,ATC,23
2 Entrty Monuments,ATC,10
2 Entry Monument,ATC,10
2 Entry Monuments,ATC,10
2 Flowerbeds,ATC,20
2 Gazebos at Maplewood Park,ATC,10
"2 Geisel Grass Sculptures @ $2,500 each",ATC,10
2 Hunter Irrigation Clocks & Pedestals at Parkwood Park,ATC,10
2 Irrigation Backflows  throughout District,ATC,32
2 Irrigation Controllers  throughout District,ATC,32
2 Lap Pool and 2 Kiddie Pool with slide & fountain & Fencing,ATC,10
2 Large Monuments,ATC,10
2 Light Poles in Parking Area,ATC,11
2 Logo Signage at Entry Area,ATC,23
2 Logo/Signage @ Entry Area,ATC,23
2 M Gal Tank,ATC,31
2 Mail Kiosks,ATC,5
2 Major Monuments,ATC,10
"2 Manholes + 400 LF Pipe - 16"" deductile Iron w/ H. sulfide proof section",ATC,23
"2 Manholes + 400 LF Pipe Vet. Clay 8""",ATC,23
2 Medians - All Items,ATC,23
2 Metal Benches at Villages Filing 20--$1200 each,ATC,10
2 Metal Bus Shelters - Light Rail Connection,ATC,27
2 Metal Doggie Pot Station at Villages Filing 20--$600 each,ATC,10
2 Metal Doggie Pot Stations at Gateway Park--$600 each,ATC,10
2 Metal Flood Lights at Parkwood Park--$1000 each,ATC,10
2 Metal Horse Statues,ATC,10
2 Metal Park Benches,ATC,10
2 Metal Park Benches & Trash Can,ATC,10
2 Metal Park Signs,ATC,10
2 Metal Picnic Tables,ATC,10
2 Metal Picnic Tables at Parkwood Park--$1800 each,ATC,10
2 Metal Picnic Tables at Villages Filing 20--$1800 each,ATC,10
2 Metal Structures,ATC,10
2 Metal Trash Cans at Parkwood Park--$720 each,ATC,10
2 Metal Trash Cans at Villages Filing 20--$720 each,ATC,39
2 Mill Gal water storage tank/concrete,ATC,31
2 Million Gallon Steel Water Tank,ATC,31
2 Million Gallon Water Tower incl Site Improvements (Fencing),ATC,31
2 Minor Monuments,ATC,10
2 Modular Offices 24X64,ATC,8
2 Monument Signs,ATC,10
2 Monuments,ATC,10
2 Monuments with Electrical,ATC,10
2 Neighborhood Accent Columns,ATC,10
2 Newspaper Corral,ATC,6
2 Newspaper Corrals,ATC,6
2 Padde Courts (40 x 36),ATC,10
2 Parking Directionals,ATC,11
2 Pet Waste Stations,ATC,23
2 Picnic Shelters,ATC,10
2 Picnic Tables & 1 Rocking Dinosaur,ATC,10
2 Picnic Tables at Berry Park,ATC,10
2 Picnic Tables at Lake & Lake Park,ATC,10
2 Picnic Tables at Prentice & Valdai Park,ATC,10
2 Playgrounds and Equipment/Picnic Area,ATC,10
2 Playgrounds Including all Play equipment and Safety Surfacing,ATC,10
"2 pump  houses ($40,000 each)",ATC,31
2 Pump Stations,ATC,31
2 Rail Fence,ATC,39
2 Rain Shelters (18 Hole),ATC,10
2 Sanctuary Pointe Entry Monumnets with Lighting,ATC,10
2 SCADA Equipment in Shelter,ATC,23
2 Secondary Clarifier (incl: drive & collector mechanism),ATC,32
2 Shade Structures,ATC,10
"2 Shade Structures, 5-Foot Iron Fence and Gate, and Outdoor Kitchen",ATC,10
2 Small Grain Bins,ATC,20
2 Small Monuments,ATC,10
"2 Statues ($96,000  +  $79,000)",ATC,10
2 Stone Entry Momuments,ATC,10
2 stone sculptures & 2 stone benches,ATC,10
2 Swing Sets,ATC,10
2 Telemetry Systems - 70 Ranch Grainmill,ATC,30
"2 Tennis Courts (surfaces, fences, nets)",ATC,10
2 The Heights at Jackson Creek Entry Monuments with Lighting,ATC,10
2 Trash Receptacles,ATC,39
2 Trash Receptacles located within the District,ATC,39
2 Trellis Structures & Pool,ATC,10
2 Water & 3 Booster Tanks,ATC,31
2 wells,ATC,31
"2"" Backflow #J0003795",ATC,32
"2"" Backflow #J000632",ATC,32
"2"" Backflow #J001032-23473",ATC,32
"2"" Backflow #J001378",ATC,32
"2"" Backflow #J001411",ATC,32
"2"" Backflow Preventer at Parkwood Park",ATC,32
"2,400 Linial Feet Masonry Fence",ATC,39
"2,500 Linear Ft of Structural Retaining Walls 4-6 ft. in Height",ATC,23
2,ATC,0
2. Lake House Restroom Facility,ATC,10
2.2 Million Gal. Water Tank - NTS #2,ATC,31
2.4 Million Gal. Water Tank- NTS #3,ATC,31
2.5 Million Gallon Water Tank - Underground,ATC,31
2.6 Million Gal. Water Tank - NTS #1 including Improvements,ATC,31
2/3 Booster Pump House - Fire Station,ATC,24
2? Backflow,ATC,32
20 Benches,ATC,10
20 Concrete Planters on Ground,ATC,39
20 Fire Hydrants,ATC,24
20 Irrigation System Controls,ATC,32
20 Movable Planters,ATC,39
20 Parking/No Parking Signs,ATC,11
20 Pedastrian Lights @ $2500 each,ATC,23
20 Single Light Fixtures,ATC,23
20 Street Lights,ATC,23
20 Trees,ATC,20
20 Trees Throughout District,ATC,20
"20,000 Gal Water Storage Tank",ATC,31
200 Gallon Above Ground Chlorine Tank,ATC,15
200 kW Solar Array,ATC,30
"200,000 Gallon Above Ground Water Tank #3",ATC,31
"200,000 Gallon Concrete Tank",ATC,31
"200,000 Gallon Tank - Coryell Tank",ATC,31
2000 lf of Steel Fencing,ATC,23
2001 Kohler 20RZ Generator,ATC,30
2008 Cummins GGHH Generator,ATC,30
2009 East Elementary - Playground,ATC,10
2009 Prairie Sky Park -  Playground,ATC,10
201 Metal Street Lights,ATC,23
2011 Cummins DSFAA generator,ATC,30
2011 Whitley 64x14 Trailer (3 bed/2 bath model),ATC,30
2014 Generac 35kW Liquid Propane Vapor Generator,ATC,30
20K Gallon Underground Tank,ATC,31
21 Bike Racks,ATC,10
21 Pedestrian Lights,ATC,23
22 Light Poles - (Total Limit Divided Equally per Pole),ATC,23
22 Mail Boxes throughout property,ATC,23
"23 Backflow Preventers. $2,695 each",ATC,32
23 Bearproof Trash & Recycle Cont - Stanley Park,ATC,10
23 Bike Racks,ATC,10
23 Street Lights,ATC,23
23 Trees,ATC,20
"23 well sites @ $30,000 each",ATC,31
24 Bollards,ATC,23
24 Mail Kiosks,ATC,23
24 Single Light Fixtures,ATC,23
24 Station Controller + Backflow,ATC,32
24 Trees,ATC,20
24 x 8 Mobile Office,ATC,8
"24"" - 40 LF and 72"" 979 LF Storm Sewer Lines",ATC,32
24;  4' Benches,ATC,10
25  Pole Lights,ATC,23
25 Bearproof Trash Containers,ATC,39
25 double light fixtures,ATC,23
25 Pedestrian Lights,ATC,23
25 Picnic Tables - Stanley Park,ATC,10
25 Single Light Fixtures,ATC,23
25 Trees,ATC,20
"25,000 Gallon Tank - Fawn Trail",ATC,31
25.  Alderfer Park Equipment,ATC,10
250 Deciduous and Evergreen Trees,ATC,20
250 Light Poles @ $5K per pol,ATC,23
"250,000 Gal. Water Tank - TP2",ATC,31
"250,000 Gallon In-Ground Tank @ Booster Pump Station",ATC,31
"250,000 Gallon Steel Storage Tank",ATC,31
"250,000 Gallon Tank & Controls",ATC,31
2-500 gal above grnd fuel tanks,ATC,19
250G Fuel Storage Tank - Marina,ATC,19
258 Light Poles,ATC,23
26 Doggie Station throughout District $450 Each,ATC,10
26 Faux Stone Columns,ATC,10
26 Mail Box Shelters:,ATC,23
26 Single Light Fixtures,ATC,23
26.  Buchanan Park Equipment,ATC,10
27 Street Lights,ATC,23
28 Parking Lot Lights,ATC,11
283 Trees Throughout District,ATC,20
286 Deciduous Trees throughout District,ATC,20
"287,300 Gal. Water Tank -TP1 - 1 (Baldyn/Del Norte)",ATC,31
2-Bleachers-15'-5 Row/Purchased Apr 1979,ATC,10
2-Bleachers-21'-10 Row/Purchase Aug 1977,ATC,10
2-Car Garage & 8-Car Carport,ATC,7
2M Gallon Water Tank,ATC,31
2nd Blue Lake Tank - Steel,ATC,31
2-Picnic Tables & Benches,ATC,10
2x KSB Amarex NS50/170 Grinder Pumps  with Holding Tank,ATC,31
3 - Solarbee Machines,ATC,31
3 - Solarbees (04/24/2008),ATC,31
3 4-Ft. Rail Fences,ATC,39
"3 acre park incl. 2 15' stone pillar monuments, 4 15'Decorative vertical stone feature, 4 15' decorative horizontal stone feature, 5 2' retaining wall, 16 park benches, 1 picnic table & chairs, 5 trash cans, 3 carousel tables",ATC,10
3 Air Foils -Pulbic Art @ Civic Plaza,ATC,10
3 Backflow Preventers,ATC,32
3 Backflow Valves,ATC,32
3 Backflow Valves & Cages,ATC,32
"3 baseball field dugouts, bleachers, covered tables, benches",ATC,10
3 Bay Shop,ATC,6
3 Benches,ATC,10
3 Benches with Backrests,ATC,10
3 Bike Racks,ATC,10
3 Bleachers 15'-3 Row/Purchased Oct. 1980,ATC,10
3 Bollards,ATC,23
"3 Bronze Life Size 1/4 Wolf Sculptures @ $25,625 Each",ATC,10
3 Divider Nets (between the courts),ATC,23
3 Dog Waste Bag Dispensers,ATC,23
3 Dog Waste Stations,ATC,23
3 Entry Monument Signs,ATC,10
3 Exercise Structures at Berry Park,ATC,10
3 Fitness Equipment Stations,ATC,10
"3 Golf Course Ponds-Headgate,Diversion & 2 Culverts",ATC,10
3 Homestead Entry Monuments with Median & Landcaping,ATC,10
3 HVAC Units,ATC,30
"3 Large Columns @ $11,978 ea.",ATC,23
"3 LED Lights in Park @ $10,000 each",ATC,10
3 Light Poles,ATC,23
3 Light Poles @ Pool Complex,ATC,10
3 Light Posts at Entry Way,ATC,23
3 Mail Kiosks,ATC,23
3 Metal Trash Receptacles - Light Rail Connection,ATC,39
3 Miles of wood/brick fence -,ATC,39
3 Monuments,ATC,10
3 Park Benches,ATC,10
3 park Trash CanP,ATC,10
"3 Pcs.Playground Equipment, Mound Cover,",ATC,10
3 Pedestrian Bridges,ATC,23
3 Picnic Table Shelters at Mary's Lake Campground,ATC,10
3 Pumps w/ Controller Houses,ATC,31
3 Rail Fence - Filing 1A Tract B,ATC,39
3 Rail Fence - Filing 1B,ATC,39
3 Rail Fence - Filing 2 Tract C,ATC,39
"3 Rail Fence, Privacy Fence, Brick Collumns",ATC,39
"3 Rail Vinyl Fencing (49,384 LF)",ATC,23
3 Rail Wood Fence (Type 2) (12972')  Mertitage/Prairieview,ATC,39
3 Rail Wood Fence (Type 2) (3812') Summerfields/Preserve,ATC,39
3 Rail Wood Fence (Type 3) (21431')  Tallgrass,ATC,39
3 Rail Wood Fence (Type 3) (4850'),ATC,39
3 Rain Shelters (18 Hole),ATC,10
3 Restrooms-Cherokee,ATC,10
3 score boards,ATC,23
3 Secondary Clarifier (incl. drive & collector mechanism),ATC,32
3 Small Monuments,ATC,10
"3 Solar Bees @ $38,979 each",ATC,23
3 Solar Controllers,ATC,30
3 Star-Shape Benches,ATC,10
3 Steel/Plexi Monuments,ATC,10
3 Stop signs(standard post)w/street sign,ATC,23
3 Trash Receptacles,ATC,39
