Code,NAME,DESCRIPTION,
RMS:2B3,Unreinforced Concrete Block Masonry,"Unreinforced Concrete Block Masonry : Buildings having the same characteristics as those for Construction Class 2B2 except that the masonry units are concrete block. Because concrete block has been in use only since about the 1920s, buildings of this type are likely to be newer than brick buildings. This is a very common form of construction in the U.S., and is also seen in many countries throughout the world.",
RMS:2B4,Unreinforced Brick Cavity,Unreinforced Brick Cavity : Used only for modeling earthquake in Australia and New Zealand ,
RMS:2B7,Unreinforced Solid Brick Masonry  With Rigid Diaphragms,Unreinforced Solid Brick Masonry  With Rigid Diaphragms : Similar to 2B2 except that the floor diaphragms are constructed using reinforced concrete.,
RMS:2C,Structural Masonry,Structural Masonry,
RMS:2C1,Reinforced Masonry,"Reinforced Masonry : Buildings having walls constructed of masonry units stacked together with mortar, and include steel reinforcing. A variety of masonry units are used for constructing buildings of this type such as solid brick, hollow clay tile, concrete block and cut stone. Hollow masonry units are reinforced by inserting reinforcing steel in the cells and then filling the cells with grout. Solid masonry units are reinforced by creating a sandwich having masonry units on the outer and inner surface, with a reinforced concrete layer between them. Floors are typically wood joists covered with boards or plywood sheeting. The roof is made up with wood joists, and covered with a water shedding material. Roof surface coverings for this type of building include a variety of materials such as wood shingles, asbestos shingles, and clay tile. Gravity loads are carried by the walls in compression, and lateral earthquake forces are resisted by the walls in shear.",
RMS:2C2,Confined Masonry,"Confined Masonry : Buildings having walls constructed with a combination of grouted masonry units and reinforced concrete beams and columns. In constructing confined masonry, masonry wall segments are erected first, and then reinforced concrete columns and beams are cast around the wall segments, thus confining the walls. The walls may have staggered brick ends that protrude into adjacent columns for better bonding. Confinement refers to the walls themselves, not their reinforcement. This method of construction is distinctly different from reinforced concrete frame with unreinforced masonry infill where the walls are constructed after the frame is built. Floors are constructed of either wood or reinforced concrete, and the roof is typically wood joist covered with shingles or tile. Gravity loads are resisted by the walls in compression and lateral earthquake forces are resisted by the walls in shear. This type of construction is not used in the U.S. but is popular in many countries of the world, particularly in Latin America.",
RMS:2C3,Confined Masonry with non-RC Slab,Confined Masonry with non-RC Slab : RMS2C3 in the Mexico Earthquake model is specifically designed for Confined Masonry with non- RC (such as wood or masonry) slab.,
RMS:2D,Factory Structure with Brick Columns,Factory Structure with Brick Columns : Factories with brick columns. Gravity loads are carried by the columns.,
RMS:2E,Multi-story Brick Structure with RC Frames,Multi-story Brick Structure with RC Frames : Multi-story brick buildilng with reinforced concrete frames. The lateral load-resisting structure consists of reinforced concrete columns and beams.,
RMS:3,Reinforced Concrete,Reinforced Concrete,
RMS:3A,Cast-in-place Reinforced Concrete WITH CONCRETE ROOF DECK,Cast-in-place Reinforced Concrete WITH CONCRETE ROOF DECK,
RMS:3A1,Reinforced Concrete Moment Resisting Frame (RCMRF),"Reinforced Concrete Moment Resisting Frame (RCMRF) : Buildings having reinforced concrete columns, beams, and floor and roof slabs. All of the components are cast-in-place. Gravity loads are carried by the columns, and lateral earthquake forces are resisted by the rigid moment-resisting frame that is created at the intersection of the beams and columns. This is a very popular form of construction for all types of occupancies worldwide.",
RMS:3A2,RCMRF with Shear Walls,"RCMRF with Shear Walls : Buildings having the same type of column, beam, floor slab and roof slab components as those described for Construction Class 3A1, but include reinforced concrete shear walls. Gravity loads are carried by the columns (and perhaps the shear walls), and lateral earthquake forces are resisted by both the rigid moment-resisting frame action created at the beam- column joints and by the shear walls. This is sometimes referred to as a dual system because lateral forces are resisted by both the frame and the shear walls.",
RMS:3A3,RCMRF with Unreinforced Masonry Infill,"RCMRF with Unreinforced Masonry Infill : Buildings having the same type of column, beam, floor slab and roof slab components as those described for Construction Class 3A1, but include unreinforced masonry infill walls. Gravity loads are carried by the columns and lateral earthquake forces are resisted by both the rigid moment-resisting frame action created at the beam-column joints. The unreinforced masonry infill walls are included only for the purpose of enclosing space. This is a very common form of construction worldwide.",
RMS:3A4,Reinforced Concrete Shear Wall,"Reinforced Concrete Shear Wall : Buildings constructed of reinforced concrete shear walls and floor and roof slabs. A pure shear wall building does not require columns or beams for stability. However, shear wall buildings typically include columns, certainly in the interior to carry gravity loads, and sometimes on the exterior as well. Gravity loads are carried by the shear walls and columns, and lateral earthquake forces are resisted by the shear walls. This type of construction is common throughout the world, and is very prevalent in Chile.",
RMS:3A5,Waffle or Flat Slab,"Waffle or Flat Slab : Buildings constructed with reinforced concrete columns and waffle slabs or flat slabs. The important distinction for this type of building is that beams are not evident. From the underside of a waffle slab, they look exactly like waffles. From the underside of a flat slab, they look simply flat. Gravity loads are carried by the columns, and earthquake lateral forces are resisted by the rigid moment-resisting frame action created at the intersection of the columns and slabs. Waffle slabs were very popular throughout the world in the mid 1900s, but their demonstrated poor performance during earthquakes has diminished their use. Flat slabs have been common worldwide throughout the 20th Century, but these are no longer used in earthquake astute parts of the world.",
RMS:3A6,Steel & Reinforced Concrete (SRC) Composite Frame,"Steel & Reinforced Concrete (SRC) Composite Frame : Buildings constructed using a combination of steel shapes (I or Wide-Flange sections) that are encased in concrete to form the composite column and beam elements of the frame. Gravity loads are carried by columns, and lateral earthquake forces are resisted by the rigid-moment action of the frame. SRC buildings are popular in Japan, and some buildings of this type have been constructed in other countries throughout the world.",
RMS:3A7,Concrete Piloti,Concrete Piloti : Buildings having reinforced concrete columns and beams with open space on the first floor (for shops or parking garages) and infill walls on the upper stories. These buildings are also referred to as soft story buildings.,
RMS:3A8,Concrete Filled Tube (CFT),Concrete Filled Tube (CFT) : The primary construction material supporting the gravity and earthquake lateral loads are concrete filled tube frame or reinforced concrete walls.,
RMS:3A9,Gravity Load Designed RC with Unreinforced Masonry Infill,"Gravity Load Designed RC with Unreinforced Masonry Infill : Buildings having reinforced concrete columns, beams, and floor and roof slabs. All of the components are cast-in-place. Gravity loads are carried by the columns. The unreinforced masonry infill walls are included only for the purpose of enclosing space and have minimal impact on lateral force resistance.",
RMS:3A10,Reinforced Concrete Frame with Wood Frame in the Upper Floors,Reinforced Concrete Frame with Wood Frame in the Upper Floors : See ATC Construction Class 80.,
RMS:3B,Precast Reinforced Concrete WITH CONCRETE ROOF DECK,Precast Reinforced Concrete WITH CONCRETE ROOF DECK,
RMS:3B1,Precast Moment Resisting Frame,"Precast Moment Resisting Frame : Buildings having reinforced concrete frame components (beams and columns) that are casted and brought to the site for assembly. Floor and roof elements are also typically made up from precast reinforced concrete components. In constructing these buildings, the precast beam and column elements, with protruding reinforcing steel, are temporarily braced in final position leaving about a one foot gap between the beam and column components. The reinforcing steel protruding from the ends of the beams and columns are attached to adjacent beam and column components using either welding or mechanical reinforcement connectors. Finally, the one foot gap between the beam and column components is filled with concrete. The floor and roof elements are attached to the frame similarly. Gravity loads are resisted by the columns, and lateral earthquake forces are resisted by the rigid moment action of the frame that is created.",
RMS:3B2,Precast MRF with Shear Walls,"Precast MRF with Shear Walls : Buildings having precast reinforced concrete beam and column components, and floor and roof elements, similar to those described for Construction Class 3B1, but in addition include reinforced concrete shear walls. In this type of building, gravity loads are carried by the columns (and perhaps by the walls) and lateral earthquake forces are resisted by the shear walls.",
RMS:3B3,Precast MRF with Unreinforced Masonry Infill,"Precast MRF with Unreinforced Masonry Infill : Buildings having precast reinforced concrete beam and column components, and floor and roof elements, similar to those described for Construction Class 3B1, that include unreinforced masonry (URM) infill walls. In this type of building, gravity loads are carried by the columns and lateral earthquake forces are resisted by the rigid moment frame action of the frame created. The URM infill walls are included only for the purpose of creating space closures.",
RMS:3B4,Tilt-up,"Tilt-up : Buildings having perimeter walls made of large single-height reinforced concrete panels that are tilted up into wall position. The wall units are then anchored to the foundation and are inter connected. The floors and roof, typically constructed of wood, are then connected to the perimeter walls. If the building has a large foot print, the building may have intermediate columns between the walls to support interior gravity loads. Gravity loads are resisted by the tilt-up walls and any intermediate columns. Lateral earthquake loads are resisted by the shear-wall action of the tilt- up walls. The tilt-up wall panels can be casted at the site, but more commonly, they are casted at a precasting plant. Tilt-up buildings are typically one story, but three story buildings of this type have been constructed. Tilt-up buildings are most commonly used for industrial occupancies, but they are used throughout the world for residential and commercial occupancies as well.",
RMS:3B5,Precast Panel Bearing Wall,"Precast Panel Bearing Wall : Buildings having walls made up from precast reinforced concrete panels that are typically one story high and 20 to 30 feet long. Floors and roof for these buildings are either precast or cast-in place reinforced concrete elements. In constructing these buildings, the precast wall elements, with protruding reinforcing steel, are temporarily braced in final position leaving about a one foot gap between the wall panels. The reinforcing steel protruding from each of the four edges of the panel are attached to the adjacent wall element, to the foundation for bottom panels, and/or to horizontal floor or roof elements using either welding or mechanical reinforcement connectors. Finally, the one foot gap between the panels is filled with concrete. Gravity loads and lateral earthquake forces are both carried by the monolithic walls created in this construction process. This type of construction has not been used in the U.S., but it is very popular in Eastern Europe, and it has been used in Latin America.",
RMS:3B6,Lift Slab,"Lift Slab : A method of concrete building construction in which the roof and floor slabs are cast, usually at ground level, and then raised into position by jacking them up along the columns. Columns are usually made of steel and the slabs are commonly prestressed. A central reinforced concrete core often braces the lifted structure and contains stairs and elevators. Exterior walls can be made from any material and hung from the slabs and columns.",
RMS:3C,Reinforced Concrete WITH WOOD OR METAL ROOF DECK,Reinforced Concrete WITH WOOD OR METAL ROOF DECK,
RMS:3D,Factory Structure with RC Columns,Factory Structure with RC Columns : Factories with reinforced concrete columns. Gravity loads are carried by the columns.,
RMS:4,STEEL,STEEL,
RMS:4A,Steel Frame WITH CONCRETE ROOF DECK,Steel Frame WITH CONCRETE ROOF DECK,
RMS:4A1,Steel Moment Resisting Frame (MRF),"Steel Moment Resisting Frame (MRF) : Buildings having steel columns and beams that make up a rigid moment-resisting frame system. Floor and roof diaphragms are typically composed of metal decking with concrete fill or cast-in-place concrete slabs. Exterior walls can be any of several types such as metal, precast concrete panel, or brick masonry. Gravity loads are carried by the columns, and lateral earthquake forces are carried by the rigid moment- resisting frame action created at the beam-column joints. This type of construction is somewhat common throughout the world, particularly for high-rise buildings.",
RMS:4A2,Steel MRF with Shear Walls,"Steel MRF with Shear Walls : Buildings having the same structural system characteristics as those described for Construction Class 4A1, but include reinforced concrete shear walls. Gravity loads are carried by the columns (and perhaps the shear walls) and lateral earthquake forces are resisted by both the shear walls and the moment-resisting frame. Although this type of construction is used throughout the world, it is not very common.",
RMS:4A3,Steel MRF with Unreinforced Masonry Infill,"Steel MRF with Unreinforced Masonry Infill : Buildings having the same structural system characteristics as those described for Construction Class 4A1, but include unreinforced masonry infill walls. Gravity loads are carried by the columns and lateral earthquake forces are resisted by the moment- resisting frame. This type of construction is somewhat common for low-rise steel buildings worldwide.",
RMS:4A4,Concentrically Braced Steel Frame,"Concentrically Braced Steel Frame : Buildings having steel columns, beams, and concentric diagonal bracing. The concentric diagonal bracing typically is installed, running from a lower beam-column joint to an upper diagonally opposed beam-column joint. Floor and roof diaphragms are typically composed of metal decking with concrete fill or cast-in-place concrete slabs. Exterior walls can be any of several types such as metal, precast concrete panel, or brick masonry. Gravity loads are carried by the columns, and lateral earthquake forces are carried by the diagonal bracing. This type of construction is common throughout the world for all occupancy types and for all building heights.",
RMS:4A5,Eccentrically Braced Steel Frame,"Eccentrically Braced Steel Frame : Buildings having the same structural system characteristics as those described for Construction Class 4A4, except that the diagonal bracing is installed at a beam-column joint at one end with the other end attached to the beam above eccentric (at some distance away) from the beam-column joint above. Gravity loads are carried by the columns and lateral earthquake forces are resisted by the eccentric bracing. This type of construction was created for its superior earthquake resistance qualities and has been implemented in construction in the U.S. and in a few other countries throughout the world only since the early 1980s.",
RMS:4A6,Gravity Load Designed Steel with Unreinforced Masonry Infill,Gravity Load Designed Steel with Unreinforced Masonry Infill : Buildings having steel columns and beams that make up a frame system. Floor and roof diaphragms are typically composed of metal decking with concrete fill or cast-in-place concrete slabs. Gravity loads are typically carried by the columns. The unreinforced masonry infill walls are included only for the purpose of enclosing space and have minimal impact on lateral force resistance.,
RMS:4A7,Steel Frame with Wood Frame in the Upper Floors,Steel Frame with Wood Frame in the Upper Floors,
RMS:4B,Light Metal,Light Metal,
RMS:4B1,Light Metal Frame,"Light Metal Frame : Buildings that are constructed of light steel framing. These are typically long narrow one story buildings, having no interior columns, that are pre-engineered and pre-fabricated and are assembled on, and attached to, a previously constructed concrete slab/foundation. The framing consists of steel moment-resisting frames in the transverse (short) building direction, with diagonal tie rods in the longitudinal (long) building direction. The exterior enclosure for this type of building is typically either corrugated metal or asbestos sheeting that is attached to the vertical light steel framing. The roof is typically either corrugated metal or fiberglass, which are light in weight. Gravity loads are carried by the columns, and lateral earthquake forces are resisted by rigid moment-resisting frame action in the transverse direction and by the diagonal tie-rods in the longitudinal direction. This type of construction is common worldwide.",
RMS:5,Manufactured/Mobile Home,Manufactured/Mobile Home,
RMS:5A,Manufactured/ Mobile Home without Tie- Downs,"Manufactured/ Mobile Home without Tie- Downs : Buildings that are manufactured (completely assembled in a plant), and moved to the desired site. Once sited, utilities are connected and the building is ready for use. In the mid 1900s, most mobile homes came with wheels, and the wheels were removed when the home was permanently situated. Today most of these buildings come without wheels, and the home is hauled to the desired site on a flatbed truck. These are commonly referred to as Manufactured buildings. Mobile homes (or Manufactured homes) are very light and if they are not tied down, they are vulnerable to both earthquake and windstorm lateral forces.",
RMS:5B,Manufactured/ Mobile Home with Tie- Downs,Manufactured/ Mobile Home with Tie- Downs : Buildings having the same basic characteristics as Construction Class 5A except that the buildings are anchored to the ground. The tie-downs make these buildings earthquake and windstorm resistant.,
RMS:6,Conventional Bridges (<500 ft spans) with Multiple Simple Spans,"Conventional Bridges (<500 ft spans) with Multiple Simple Spans : Bridges constructed of concrete, steel, or timber having simple spans, that are each less than 500 ft in length.",
RMS:7,Conventional Bridges (<500 ft spans) with,"Conventional Bridges (<500 ft spans) with : Bridges constructed of concrete, steel, or timber having continuous spans that are each less than 500 ft in length.",
FIRE:1,Frame," Frame : Buildings having wood exterior walls or other combustible
materials including construction where combustible
materials are combined with other materials such as brick
veneer, stone veneer, iron cladding, or stucco on wood.",
FIRE:2,Joisted Masonry," Joisted Masonry : Buildings having masonry exterior walls, such as stone,
adobe, brick, clay tile, concrete block, or concrete, with
combustible joisted wood floors and roof.",
FIRE:3,Non-Combustible,"Non-Combustible : Buildings having walls and floors constructed of, and
supported by non-combustible materials such as metal,
concrete, asbestos, gypsum, or fire-proofed steel.",
FIRE:4,Masonry Non-Combustible,"Masonry Non-Combustible : Buildings having exterior walls constructed of unit masonry,
such as stone, adobe, brick, clay tile, or concrete block, with
floors and roof of metal or other non-combustible material.",
FIRE:5,Modified Fire Resistive,"Modified Fire Resistive Buildings having exterior walls, floors, and roof constructed
of masonry or other fire-resistive material with a fire
resistance rating of one hour or more, but less than two
hours.",
FIRE:6,Fire Resistive,"Fire Resistive : Buildings having exterior walls, floors, and roof constructed
of masonry or other fire-resistive material with a fire
resistance rating of not less than two hours.",
FIRE:7,Heavy Timber Joisted Masonry,"Heavy Timber Joisted Masonry : Joisted Masonry constructed buildings where the following
additional conditions exist: where the entire roof has a minimum thickness of 2 inches with roof supported by
timber having a minimum dimension of 6 inches; or where
the entire roof assembly is documented to have a UL wind
uplift classification of 90 or equivalent.",
FIRE:8,Superior Non-Combustible,"Superior Non-Combustible : Non-combustible constructed buildings where the following
additional conditions exist: where the entire roof is
constructed of 2 inches of masonry on steel supports; or
where the entire roof is constructed of 22 gauge metal (or
heavier) on steel supports; or where the entire roof
assembly is documented to have a wind uplift classification
of 90 or equivalent.",
FIRE:9,Superior Masonry Non-Combustible,"Superior Masonry Non-Combustible : Masonry non-combustible constructed buildings where the
following additional conditions exist: where the entire roof is
constructed of 2 inches of masonry on steel supports; or
where the entire roof is constructed of 22 gauge metal (or
heavier) on steel supports; or where the entire roof
assembly is documented to have wind uplift classification of
90 or equivalent.",
